SUBNO,SEX,AGEGRP,RACEGRP,WEIGHTKG,STATURE,HEADCIRC,BITCOR,BITFRONT,BITSUBN,BITCHIN,NECKCIRC,HEADBR,HEADLTH,MINFRBR,MAXFRBR,BIZYGOBR,BIGONLBR,NROOTBR,NOSEBR,LIPLTH,SUBNASAL,MENSELL,NOSEPRO,INTPUPBR,
1,1,2,1,77.3,"1,689",585,341,299,282,317,"-9,999",159,205,109,114,136,101,19,33,53,60,129,21,63.5,
2,1,2,1,103.4,"1,780",578,350,304,278,310,"-9,999",151,204,106,110,143,111,17,37,51,53,126,24,64.0,
3,1,2,2,82.7,"1,802",582,357,309,301,335,"-9,999",151,201,110,111,146,112,16,35,61,60,121,23,66.0,
4,1,2,1,90.6,"1,821",578,355,315,289,319,"-9,999",153,205,101,110,136,120,15,32,54,55,125,20,61.0,
6,1,2,1,89.2,"1,789",590,340,305,287,327,"-9,999",148,211,102,108,140,109,18,36,50,54,126,22,63.5,
7,1,2,1,76.3,"1,768",558,335,278,276,306,"-9,999",156,186,103,110,142,110,16,38,54,50,110,17,60.0,
8,1,1,1,83.4,"1,744",560,326,300,288,322,"-9,999",149,197,104,111,140,111,22,35,49,49,124,22,63.0,
9,1,3,1,89.3,"1,730",599,345,305,297,328,"-9,999",156,212,95,102,144,117,17,36,54,55,124,23,62.5,
10,1,2,1,77.1,"1,790",541,330,285,267,310,"-9,999",148,189,94,102,137,119,17,31,45,49,112,19,62.5,
11,1,2,1,79.1,"1,688",579,367,312,285,320,"-9,999",157,199,105,110,148,124,18,35,54,55,128,25,62.0,
12,1,3,1,90.2,"1,720",557,338,303,296,325,"-9,999",153,189,103,110,147,124,17,31,51,57,122,22,59.5,
13,1,2,1,95.4,"1,787",579,357,312,301,340,"-9,999",154,201,106,111,151,128,18,35,54,44,121,21,61.5,
14,2,3,2,86.9,"1,492",537,345,289,270,300,"-9,999",153,176,106,108,135,115,18,31,50,45,113,22,57.0,
15,1,2,1,93.9,"1,868",580,355,305,282,322,"-9,999",160,195,100,106,148,121,17,33,53,55,126,21,60.5,
16,1,2,1,90.1,"1,749",556,344,286,272,317,"-9,999",151,194,104,111,139,115,19,33,44,50,114,17,60.0,
17,2,3,2,80.8,"1,596",545,326,274,270,295,"-9,999",139,181,95,104,130,107,17,36,48,55,118,17,65.0,
18,1,3,1,82.2,"1,737",567,348,295,279,329,"-9,999",156,195,100,105,147,109,17,31,55,57,131,23,61.0,
19,1,3,1,67.1,"1,765",580,365,308,286,311,"-9,999",159,201,110,115,150,108,19,32,56,59,131,21,65.0,
20,1,2,1,129.7,"1,773",584,365,325,314,345,"-9,999",164,199,107,114,156,135,20,35,49,54,136,21,67.0,
21,1,3,1,103.4,"1,786",578,328,307,310,348,"-9,999",145,202,101,110,148,125,19,37,48,59,126,21,62.5,
22,1,2,1,94.5,"1,896",580,358,306,290,330,"-9,999",154,204,106,115,144,118,17,36,51,56,128,26,61.5,
23,1,3,1,117.8,"1,685",572,345,309,303,350,"-9,999",157,198,104,108,150,133,19,36,47,52,120,24,67.5,
24,1,3,1,99.4,"1,777",585,365,316,313,340,"-9,999",165,200,115,120,152,127,18,35,51,59,128,20,67.5,
25,1,2,1,95.6,"1,662",565,340,290,270,309,"-9,999",156,192,104,108,147,125,18,35,49,43,110,19,64.0,
26,1,2,1,65.6,"1,700",571,349,299,296,305,"-9,999",154,198,107,117,140,112,20,34,48,58,123,20,63.5,
27,1,2,1,75.7,"1,694",568,349,308,290,315,"-9,999",151,195,110,118,139,125,19,32,48,54,118,20,63.5,
28,1,2,2,119.2,"1,667",588,349,314,303,324,"-9,999",150,206,102,114,147,136,17,46,57,49,114,20,67.5,
29,1,3,2,82.3,"1,699",593,362,325,320,358,"-9,999",162,195,107,111,156,121,18,45,57,48,117,20,67.5,
30,1,3,1,87.3,"1,731",555,338,301,297,336,"-9,999",153,190,102,111,154,124,20,38,52,53,116,21,67.5,
31,1,2,1,85.9,"1,742",563,327,293,298,346,"-9,999",148,198,105,111,138,111,16,34,51,58,138,20,61.0,
32,1,3,1,79.9,"1,699",551,338,289,279,318,"-9,999",149,189,103,107,137,111,17,38,44,53,121,21,63.0,
33,2,2,1,70.5,"1,630",560,345,292,265,285,"-9,999",147,191,99,104,138,112,18,29,55,51,120,24,61.5,
34,2,2,4,48.9,"1,556",534,360,279,268,295,"-9,999",146,180,105,113,135,101,20,33,51,43,112,17,68.0,
35,1,2,1,99.7,"1,808",588,370,311,292,329,"-9,999",164,200,107,117,150,117,19,35,52,58,127,19,67.0,
36,1,2,1,100.7,"1,746",560,332,300,296,346,"-9,999",151,193,105,117,145,141,18,35,54,51,127,20,62.5,
37,2,3,1,64.9,"1,698",556,314,279,272,305,"-9,999",145,198,100,109,131,105,17,31,50,51,121,26,59.5,
38,1,3,1,83.0,"1,686",557,336,301,290,320,"-9,999",152,196,105,114,138,107,16,36,50,56,119,24,61.5,
39,1,3,1,90.6,"1,757",559,328,307,300,338,"-9,999",148,200,105,111,145,128,16,39,56,47,114,25,65.0,
40,2,3,1,85.9,"1,702",575,356,301,284,318,"-9,999",144,198,107,112,131,107,17,29,50,49,123,22,66.5,
41,2,1,1,64.4,"1,718",582,348,291,275,310,"-9,999",156,196,105,110,134,108,15,30,48,45,112,18,59.0,
42,2,1,1,54.1,"1,608",528,315,262,258,285,"-9,999",139,180,94,103,124,94,13,30,42,47,107,15,55.0,
43,2,2,1,56.6,"1,641",534,325,277,263,287,"-9,999",143,185,99,105,122,88,15,30,46,46,112,18,59.0,
44,1,1,1,99.9,"1,775",586,322,297,290,315,"-9,999",154,205,109,114,144,117,20,38,51,49,124,23,66.0,
45,2,3,1,66.8,"1,678",575,318,283,268,285,"-9,999",153,195,107,111,137,108,18,29,51,54,113,24,62.0,
46,2,2,1,46.0,"1,579",562,322,290,265,278,"-9,999",148,194,98,103,139,101,17,28,48,46,114,17,59.5,
47,2,2,1,83.4,"1,634",556,343,288,273,300,"-9,999",145,190,105,113,129,109,17,28,48,45,118,18,60.0,
48,2,2,1,57.1,"1,794",540,305,273,278,302,"-9,999",140,192,103,112,129,100,18,29,49,46,108,17,62.5,
49,1,1,1,77.2,"1,735",564,340,287,287,317,"-9,999",149,194,103,108,143,117,19,36,54,52,122,19,57.5,
50,2,1,1,64.0,"1,679",560,342,280,270,297,"-9,999",147,187,100,111,131,101,17,30,42,51,116,20,57.5,
51,2,2,1,92.7,"1,722",598,355,305,275,305,"-9,999",143,207,105,110,137,110,18,31,50,47,123,23,62.0,
52,2,1,1,55.2,"1,539",560,335,285,266,287,"-9,999",141,197,100,103,125,101,17,33,50,50,113,22,55.5,
53,1,3,1,102.0,"1,743",565,362,307,302,343,"-9,999",158,191,110,123,144,126,17,43,52,46,122,22,67.5,
54,1,2,1,85.1,"1,716",552,340,296,281,325,"-9,999",154,180,106,112,148,126,17,30,51,50,122,20,65.0,
55,1,1,1,76.2,"1,855",577,332,297,288,330,"-9,999",149,202,95,102,136,106,15,31,49,51,126,21,54.5,
56,2,2,1,75.1,"1,733",573,350,286,261,285,"-9,999",155,192,102,110,142,110,18,31,50,52,119,22,62.5,
